Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,0
FINANCEINSURANCE,56
REALESTATERENTAL,5
SCIENTIFICTECHNICAL,40
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,3
EDUCATION,0
HEALTHCARE,434
ART,8
FOOD,204
OTHER,58
