Age,Number
AGE_0_9,7970
AGE_10_19,8426
AGE_20_29,7063
AGE_30_39,7026
AGE_40_49,6958
AGE_50_59,8592
AGE_60_69,7769
AGE_70_79,4478
AGE_80,2507
