Age,Number
AGE_0_9,15188
AGE_10_19,15137
AGE_20_29,10321
AGE_30_39,14316
AGE_40_49,14334
AGE_50_59,15713
AGE_60_69,10542
AGE_70_79,4845
AGE_80,3165
