Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,527
FINANCEINSURANCE,1288
REALESTATERENTAL,745
SCIENTIFICTECHNICAL,4181
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,1409
EDUCATION,413
HEALTHCARE,6261
ART,1130
FOOD,3066
OTHER,1008
