Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,26
FINANCEINSURANCE,134
REALESTATERENTAL,0
SCIENTIFICTECHNICAL,162
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,175
EDUCATION,0
HEALTHCARE,1197
ART,100
FOOD,879
OTHER,173
