Age,Number
AGE_0_9,37264
AGE_10_19,44077
AGE_20_29,44491
AGE_30_39,35119
AGE_40_49,32584
AGE_50_59,35293
AGE_60_69,31372
AGE_70_79,17494
AGE_80,11468
