Day,Y_sched,Y_actual
1.0,11.0,11.0
2.0,12.08740234375,15.0
3.0,13.108423233032227,13.0
4.0,14.086103439331055,15.0
5.0,15.039009094238281,20.0
6.0,15.981914520263672,25.0
7.0,16.926393508911133,23.0
8.0,17.881324768066406,28.0
9.0,18.85331916809082,25.0
10.0,19.84709930419922,23.0
11.0,20.865802764892578,28.0
12.0,21.911266326904297,31.0
13.0,22.98424530029297,32.0
14.0,24.084617614746094,31.0
15.0,25.2115478515625,31.0
16.0,26.363637924194336,30.0
17.0,27.539037704467773,29.0
18.0,28.735557556152344,30.0
19.0,29.95074462890625,31.0
20.0,31.181968688964844,35.0
21.0,32.42647933959961,37.0
22.0,33.681453704833984,42.0
23.0,34.94404602050781,41.0
24.0,36.211402893066406,44.0
25.0,37.48072814941406,44.0
26.0,38.74928283691406,37.0
27.0,40.014400482177734,38.0
28.0,41.27350616455078,37.0
29.0,42.52414321899414,34.0
30.0,43.763973236083984,35.0
31.0,44.99076461791992,34.0
32.0,46.202423095703125,37.0
33.0,47.396976470947266,33.0
34.0,48.572593688964844,32.0
