date,hosp
2020-03-21,11
2020-03-22,15
2020-03-23,13
2020-03-24,15
2020-03-25,20
2020-03-26,25
2020-03-27,23
2020-03-28,28
2020-03-29,25
2020-03-30,23
2020-03-31,28
2020-04-01,31
2020-04-02,32
2020-04-03,31
2020-04-04,31
2020-04-05,30
2020-04-06,29
2020-04-07,30
2020-04-08,31
2020-04-09,35
2020-04-10,37
2020-04-11,42
2020-04-12,41
2020-04-13,44
2020-04-14,44
2020-04-15,37
2020-04-16,38
2020-04-17,37
2020-04-18,34
2020-04-19,35
2020-04-20,34
2020-04-21,37
2020-04-22,33
2020-04-23,32
