Day,Y_sched,Y_actual
1.0,5.0,11.0
2.0,4.886244297027588,15.0
3.0,4.778295040130615,13.0
4.0,4.675863265991211,15.0
5.0,4.57902193069458,20.0
6.0,4.488093376159668,25.0
7.0,4.403563499450684,23.0
8.0,4.326024532318115,28.0
9.0,4.256134510040283,25.0
10.0,4.194590091705322,23.0
11.0,4.142108917236328,28.0
12.0,4.099421977996826,31.0
13.0,4.067270278930664,32.0
14.0,4.046404838562012,31.0
15.0,4.037590980529785,31.0
16.0,4.041615009307861,30.0
17.0,4.05928897857666,29.0
18.0,4.09145975112915,30.0
19.0,4.139018535614014,31.0
20.0,4.202909469604492,35.0
21.0,4.284140110015869,37.0
22.0,4.383790969848633,42.0
23.0,4.503025531768799,41.0
24.0,4.643102645874023,44.0
25.0,4.805384635925293,44.0
26.0,4.991349697113037,37.0
27.0,5.202606201171875,38.0
