Day,Task Loss,RMSE Loss
1.0,1556.218994140625,24.750503540039062
2.0,2825.591552734375,33.419586181640625
3.0,3714.880859375,38.34857177734375
4.0,5228.8330078125,45.533721923828125
5.0,6044.4638671875,48.97138977050781
6.0,8957.3701171875,59.65806579589844
7.0,11488.7509765625,67.59041595458984
