Day,Y_sched,Y_actual
1.0,5.0,11.0
2.0,4.886244297027588,15.0
3.0,4.780438423156738,13.0
4.0,4.686369895935059,15.0
5.0,4.609946250915527,20.0
6.0,4.558357238769531,25.0
7.0,4.539490699768066,23.0
8.0,4.5615386962890625,28.0
9.0,4.632746696472168,25.0
10.0,4.761268615722656,23.0
11.0,4.955097675323486,28.0
12.0,5.222053050994873,31.0
13.0,5.569803714752197,32.0
14.0,6.005921363830566,31.0
15.0,6.537946701049805,31.0
16.0,7.173470973968506,30.0
17.0,7.920228958129883,29.0
18.0,8.786181449890137,30.0
19.0,9.779614448547363,31.0
20.0,10.909253120422363,35.0
21.0,12.184326171875,37.0
22.0,13.6146879196167,42.0
23.0,15.210906982421875,41.0
24.0,16.9843692779541,44.0
25.0,18.947383880615234,44.0
26.0,21.1132755279541,37.0
27.0,23.496509552001953,38.0
