Iteration,Loss
0,957356568.40409
1,945292830.315261
2,956520107.8954002
3,953629303.010665
4,958952331.6533347
5,947865524.1405174
6,938740144.5635062
7,939010257.781974
8,941908781.6626731
9,939727381.0773002
