Day,Y_sched,Y_actual
1.0,5.0,11.0
2.0,4.886244297027588,15.0
3.0,4.7786383628845215,13.0
4.0,4.677541255950928,15.0
5.0,4.583937168121338,20.0
6.0,4.499194145202637,25.0
7.0,4.42488431930542,23.0
8.0,4.362656593322754,28.0
9.0,4.314149379730225,25.0
10.0,4.280928611755371,23.0
11.0,4.264451026916504,28.0
12.0,4.266045093536377,31.0
13.0,4.286901950836182,32.0
14.0,4.3280744552612305,31.0
15.0,4.390483379364014,31.0
16.0,4.4749274253845215,30.0
17.0,4.582096099853516,29.0
18.0,4.712582111358643,30.0
19.0,4.866894245147705,31.0
20.0,5.045474052429199,35.0
21.0,5.248703956604004,37.0
22.0,5.476922035217285,42.0
23.0,5.730433940887451,41.0
24.0,6.009522914886475,44.0
25.0,6.314460754394531,44.0
26.0,6.645514011383057,37.0
27.0,7.002955436706543,38.0
