Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,0
FINANCEINSURANCE,155
REALESTATERENTAL,0
SCIENTIFICTECHNICAL,72
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,18
EDUCATION,0
HEALTHCARE,570
ART,15
FOOD,1401
OTHER,135
