Age,Number
AGE_0_9,21631
AGE_10_19,22439
AGE_20_29,22111
AGE_30_39,21936
AGE_40_49,20285
AGE_50_59,23760
AGE_60_69,22727
AGE_70_79,11358
AGE_80,7432
