Age,Number
AGE_0_9,35845
AGE_10_19,53301
AGE_20_29,77169
AGE_30_39,45945
AGE_40_49,41060
AGE_50_59,42682
AGE_60_69,38819
AGE_70_79,21867
AGE_80,11697
