Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,80
FINANCEINSURANCE,254
REALESTATERENTAL,59
SCIENTIFICTECHNICAL,181
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,460
EDUCATION,0
HEALTHCARE,1007
ART,0
FOOD,796
OTHER,179
