Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,36
FINANCEINSURANCE,206
REALESTATERENTAL,53
SCIENTIFICTECHNICAL,183
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,259
EDUCATION,0
HEALTHCARE,1074
ART,235
FOOD,800
OTHER,291
