Age,Number
AGE_0_9,5258
AGE_10_19,6675
AGE_20_29,5345
AGE_30_39,5358
AGE_40_49,6301
AGE_50_59,7556
AGE_60_69,8029
AGE_70_79,4932
AGE_80,2159
