Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,304
FINANCEINSURANCE,601
REALESTATERENTAL,1160
SCIENTIFICTECHNICAL,604
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,780
EDUCATION,99
HEALTHCARE,3103
ART,0
FOOD,6331
OTHER,562
