Age,Number
AGE_0_9,6633
AGE_10_19,11523
AGE_20_29,18211
AGE_30_39,7297
AGE_40_49,6512
AGE_50_59,7470
AGE_60_69,6853
AGE_70_79,3744
AGE_80,2120
