Occupation,Number
AGRICULTURE,0
MINING,0
UTILITIES,0
CONSTRUCTION,0
MANUFACTURING,0
WHOLESALETRADE,0
RETAILTRADE,0
TRANSPORTATION,0
INFORMATION,197
FINANCEINSURANCE,1257
REALESTATERENTAL,338
SCIENTIFICTECHNICAL,0
ENTERPRISEMANAGEMENT,0
WASTEMANAGEMENT,1281
EDUCATION,215
HEALTHCARE,6998
ART,465
FOOD,3306
OTHER,980
