Age,Number
AGE_0_9,44111
AGE_10_19,48048
AGE_20_29,42097
AGE_30_39,49079
AGE_40_49,46179
AGE_50_59,51996
AGE_60_69,40469
AGE_70_79,21730
AGE_80,10066
