Age,Number
AGE_0_9,12328
AGE_10_19,13274
AGE_20_29,14061
AGE_30_39,13807
AGE_40_49,12714
AGE_50_59,15677
AGE_60_69,14409
AGE_70_79,8870
AGE_80,4590
